from_stop_id,to_stop_id,transfer_type,min_transfer_time
8051,2477,0,
8051,2799,0,
8052,10423,0,
8052,10915,0,
8052,2397,0,
8052,3535,0,
8052,5989,0,
8052,2203,0,
8052,6984,0,
8052,2252,0,
8053,11712,0,
8053,11719,0,
8053,11711,0,
8053,11716,0,
8053,11715,0,
8053,11710,0,
8053,11718,0,
8578,10564,0,
8578,8575,0,
8578,8561,0,
8578,8552,0,
8578,8573,0,
8578,8574,0,
8746,8685,0,
8746,8690,0,
8746,8688,0,
8746,8687,0,
8746,8672,0,
8746,8656,0,
8746,8657,0,
8746,8755,2,120
8746,12227,2,360
8746,8676,0,
8746,8746,2,60
8746,8691,0,
8746,8689,0,
8747,9952,0,
8747,10034,0,
8747,10972,0,
8747,10971,0,
2539,8069,0,
2539,8048,0,
9926,5861,2,300
9926,5845,0,
7639,5890,2,120
7639,5148,0,
7639,8062,0,
7639,7639,0,
7639,8055,0,
11715,11712,0,
11715,11719,0,
11715,11711,0,
11715,11716,0,
11715,11715,0,
11715,11710,0,
1198,704,0,
1198,665,0,
1198,1198,0,
10399,4495,2,480
10399,10400,0,
10399,4881,0,
10399,11706,2,360
10399,12036,2,120
10399,10399,0,
10399,8041,2,360
2354,8978,0,
2354,2339,0,
2354,8063,0,
2354,8054,2,300
1181,1181,0,
1186,1187,0,
1186,1648,0,
1195,1158,0,
1195,1195,0,
701,11623,0,
701,669,0,
702,1538,0,
702,667,0,
702,702,0,
1202,1355,2,300
1202,1307,2,360
1206,850,2,360
1206,785,2,360
8622,2120,0,
8622,779,2,360
8622,857,2,360
8622,9052,0,
177,238,2,300
178,238,0,
178,9067,0,
179,10352,0,
179,10363,0,
181,1286,2,480
181,10435,2,300
181,8074,0,
181,235,0,
181,181,0,
181,8043,0,
184,1283,2,360
11529,231,2,300
11529,1283,0,
11529,2738,2,360
11529,232,2,360
11529,524,0,
11529,942,2,360
3423,3637,2,360
3423,3423,0,
10068,10440,2,480
10068,10067,0,
10068,3608,2,420
10068,10068,0,
3608,10067,2,480
3608,10068,2,420
3153,3245,2,360
3153,3153,0,
11926,12229,2,480
11786,3156,2,360
11786,12229,2,480
11786,3242,2,360
11786,3091,2,360
11786,11786,0,
8886,8886,0,
3593,3515,0,
3594,3449,0,
3418,3554,2,360
3419,3361,0,
3565,3515,0,
3565,3449,2,480
3371,3667,0,
3373,8886,0,
3085,3037,0,
3085,3085,0,
3086,11443,0,
3091,3156,2,360
3242,3092,2,360
3242,3156,0,
3242,11786,2,360
3243,12229,2,300
3243,12228,2,300
3244,3579,2,300
3244,11926,2,360
3245,3153,2,480
11307,2892,0,
11307,3151,2,360
10067,10440,2,420
10067,10067,0,
10067,10068,0,
8749,8697,0,
8749,8683,0,
8750,11875,2,480
8750,11879,2,360
8750,11874,0,
8750,11878,2,420
8750,11873,0,
8750,11876,0,
8750,11877,0,
8751,9505,0,
8751,8673,0,
8751,8674,0,
8752,11095,0,
8752,8860,0,
8752,906,2,360
8752,911,2,360
8753,1091,2,360
8753,8907,0,
8754,12073,2,300
8754,11588,0,
8754,8913,2,360
8754,972,2,360
8754,1230,2,420
8754,11606,2,300
8754,8073,2,360
8754,8044,0,
10375,10926,0,
10375,1362,2,540
10375,1300,2,480
9510,8703,0,
8748,8680,0,
8748,8659,0,
8748,8679,0,
3407,8797,2,120
3407,3407,2,120
2646,3536,0,
2646,3624,0,
2648,2261,0,
2648,2328,0,
8676,8685,2,120
8676,8690,2,120
8676,8688,2,120
8676,8672,2,120
8676,8656,2,120
8676,8657,2,120
8676,8755,0,
8676,8746,0,
8676,8691,0,
8676,8689,0,
8797,8797,2,120
8797,3407,2,120
8573,10564,0,
8573,8575,0,
8573,8561,0,
8573,8552,0,
8573,8577,0,
8573,8573,0,
8573,8574,0,
8573,8578,0,
1477,1394,0,
1477,1858,0,
