service_id,date,exception_type
117701,20161130,1
123201,20161201,1
123201,20161202,1
123201,20161205,1
123201,20161206,1
123201,20161207,1
123201,20161208,1
123201,20161209,1
123201,20161212,1
123201,20161213,1
123201,20161214,1
123201,20161215,1
123201,20161216,1
162201,20161024,1
162201,20161025,1
162201,20161026,1
162201,20161027,1
162201,20161028,1
162201,20161031,1
162201,20161101,1
162201,20161102,1
162201,20161103,1
162201,20161104,1
162201,20161107,1
162201,20161108,1
162201,20161109,1
162201,20161110,1
162201,20161111,1
162201,20161114,1
162201,20161115,1
162201,20161116,1
162201,20161117,1
162201,20161118,1
162201,20161121,1
162201,20161122,1
162201,20161123,1
162201,20161124,1
162201,20161125,1
162201,20161128,1
162201,20161129,1
162201,20161130,1
162201,20161201,1
162201,20161202,1
162201,20161205,1
162201,20161206,1
162201,20161207,1
162201,20161208,1
162201,20161209,1
162201,20161212,1
162201,20161213,1
162201,20161214,1
162201,20161215,1
162201,20161216,1
225102,20160910,1
225102,20160917,1
225102,20160924,1
225102,20161001,1
225102,20161008,1
225102,20161015,1
225102,20161016,1
92402,20161203,1
92402,20161210,1
117702,20161022,1
117702,20161023,1
117702,20161029,1
117702,20161030,1
117702,20161105,1
117702,20161106,1
117702,20161112,1
117702,20161113,1
117702,20161119,1
117702,20161120,1
117702,20161126,1
117702,20161127,1
123202,20161203,1
123202,20161204,1
123202,20161210,1
123202,20161211,1
123202,20161217,1
123202,20161218,1
162202,20161022,1
162202,20161023,1
162202,20161029,1
162202,20161030,1
162202,20161105,1
162202,20161106,1
162202,20161112,1
162202,20161113,1
162202,20161119,1
162202,20161120,1
162202,20161126,1
162202,20161127,1
162202,20161203,1
162202,20161204,1
162202,20161210,1
162202,20161211,1
162202,20161217,1
162202,20161218,1
49603,20160905,1
169803,20160905,1
169803,20160911,1
169803,20160918,1
169803,20160925,1
169803,20161002,1
169803,20161009,1
169803,20161010,1
225103,20160905,1
225103,20160910,1
225103,20160911,1
225103,20160917,1
225103,20160918,1
225103,20160924,1
225103,20160925,1
225103,20161001,1
225103,20161002,1
225103,20161008,1
225103,20161009,1
225103,20161010,1
225103,20161015,1
225103,20161016,1
1803,20161009,1
32603,20160905,1
32603,20160910,1
32603,20160911,1
32603,20160917,1
32603,20160918,1
32603,20160924,1
32603,20160925,1
32603,20161001,1
32603,20161002,1
32603,20161008,1
32603,20161010,1
32603,20161015,1
32603,20161016,1
32603,20161022,1
32603,20161023,1
32603,20161029,1
32603,20161030,1
32603,20161105,1
32603,20161106,1
32603,20161111,1
32603,20161112,1
32603,20161113,1
32603,20161119,1
32603,20161120,1
32603,20161126,1
32603,20161127,1
32603,20161204,1
32603,20161211,1
32603,20161217,1
32603,20161218,1
117703,20161022,1
117703,20161023,1
117703,20161029,1
